	Mc17-25.fq.trim.sam.counts	Mc17-33.fq.trim.sam.counts	Mc17-40.fq.trim.sam.counts	Mc17-66.fq.trim.sam.counts	Mc20-01.fq.trim.sam.counts	Mc20-04.fq.trim.sam.counts	Mc20-05.fq.trim.sam.counts	Mc20-08.fq.trim.sam.counts	Mc20-12.fq.trim.sam.counts	Mc20-14.fq.trim.sam.counts	Mc20-15.fq.trim.sam.counts	Mc20-18.fq.trim.sam.counts	Mc20-20.fq.trim.sam.counts	Mc20-21.fq.trim.sam.counts	Mc20-22.fq.trim.sam.counts	Mc20-24.fq.trim.sam.counts	Mc20-27.fq.trim.sam.counts	Mc20-33.fq.trim.sam.counts	Mc21-05.fq.trim.sam.counts	Mc21-08.fq.trim.sam.counts	Mc21-19.fq.trim.sam.counts	Mc21-20.fq.trim.sam.counts	Mc22-01.fq.trim.sam.counts	Mc22-03.fq.trim.sam.counts	Mc22-07.fq.trim.sam.counts	Mc22-08.fq.trim.sam.counts	Mc22-09.fq.trim.sam.counts	Mc22-12.fq.trim.sam.counts	Mc22-13.fq.trim.sam.counts	Mc22-16.fq.trim.sam.counts	Mc22-18.fq.trim.sam.counts	Mc22-20.fq.trim.sam.counts	Mc22-23.fq.trim.sam.counts	Mc22-24.fq.trim.sam.counts	Mc22-27.fq.trim.sam.counts	Mc22-40.fq.trim.sam.counts	Mc23-02.fq.trim.sam.counts	Mc23-10.fq.trim.sam.counts	Mc23-12.fq.trim.sam.counts	Mc23-27.fq.trim.sam.counts	Mc25-01.fq.trim.sam.counts	Mc25-07.fq.trim.sam.counts	Mc25-19.fq.trim.sam.counts	Mc25-25.fq.trim.sam.counts	Mc26-04.fq.trim.sam.counts	Mc26-06.fq.trim.sam.counts	Mc26-07.fq.trim.sam.counts	Mc26-09.fq.trim.sam.counts	Mc26-13.fq.trim.sam.counts	Mc26-15.fq.trim.sam.counts	Mc26-17.fq.trim.sam.counts	Mc26-18.fq.trim.sam.counts	Mc26-22.fq.trim.sam.counts	Mc26-23.fq.trim.sam.counts	Mc26-24.fq.trim.sam.counts	Mc26-25.fq.trim.sam.counts	Mc26-28.fq.trim.sam.counts	Mc26-30.fq.trim.sam.counts	Mc28-18.fq.trim.sam.counts	Mc28-19.fq.trim.sam.counts	Mc28-27.fq.trim.sam.counts	Mc28-40.fq.trim.sam.counts	Mc29-04.fq.trim.sam.counts	Mc29-06.fq.trim.sam.counts	Mc29-18.fq.trim.sam.counts	Mc29-27.fq.trim.sam.counts	
Mcavernosa06088	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Mcavernosa06090	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	
Mcavernosa06091	2	2	0	1	0	5	9	1	0	0	0	0	0	0	0	0	0	1	1	3	1	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	1	1	0	0	
Mcavernosa06092	3	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	1	3	3	0	0	2	0	1	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	9	0	0	0	0	3	0	0	0	0	0	0	1	1	0	1	1	0	1	
Mcavernosa06093	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Mcavernosa06094	0	1	0	0	0	2	2	4	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	12	0	0	1	0	0	0	0	0	0	0	0	1	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	
Mcavernosa06095	0	0	0	1	0	0	5	1	0	0	0	0	0	0	0	0	0	2	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	
Mcavernosa06096	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Mcavernosa06097	7	20	8	1	11	7	116	4	0	3	0	1	0	0	6	0	13	2	4	24	8	23	0	5	12	3	13	18	3	0	18	3	1	1	13	0	1	9	10	0	0	0	1	0	4	1	13	2	0	0	0	8	8	0	2	3	0	0	16	9	11	7	20	15	0	16	
Mcavernosa06098	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Mcavernosa06099	6	11	0	17	0	25	45	25	0	5	4	2	0	0	20	0	0	27	17	5	4	8	0	0	5	0	5	8	1	0	7	4	1	1	3	0	0	2	0	2	0	0	1	0	3	1	2	9	0	0	3	2	1	0	0	0	0	0	0	3	14	0	9	8	4	1	
Mcavernosa06100	1	1	0	0	0	0	3	1	0	2	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	2	0	
Mcavernosa06101	3	2	0	3	0	2	17	8	0	2	0	1	0	0	2	0	0	6	2	1	0	2	0	0	0	0	1	2	0	0	1	0	0	0	0	0	0	7	3	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	3	0	0	2	1	1	0	4	9	3	4	
Mcavernosa06103	3	3	1	4	0	3	18	8	0	0	2	3	5	0	1	0	0	3	4	6	1	3	0	0	3	0	27	3	0	0	1	2	0	0	0	0	0	5	0	0	0	0	5	0	2	0	1	1	0	0	0	3	0	0	0	1	0	0	0	5	3	0	4	11	3	1	
Mcavernosa06104	1	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	
Mcavernosa06105	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Mcavernosa06106	0	1	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	1	0	2	0	3	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	8	1	0	1	1	0	1	
Mcavernosa06108	1	1	0	1	0	1	9	16	0	0	0	0	0	0	0	0	0	0	1	4	0	4	0	0	0	0	3	1	0	0	6	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	3	0	2	
Mcavernosa06110	121	131	66	141	33	97	724	72	20	111	62	98	66	135	116	102	104	110	39	102	83	137	54	15	99	28	90	77	78	42	119	43	29	56	76	39	101	41	123	77	16	16	46	41	63	107	165	55	104	89	122	112	72	53	148	60	136	94	109	84	92	39	130	121	116	147	
Mcavernosa06111	5	13	2	3	0	11	44	42	1	7	0	2	2	1	2	1	5	1	8	9	4	8	12	0	2	0	2	2	1	1	0	0	3	5	3	0	2	10	0	4	0	0	1	8	2	0	5	8	2	0	0	2	0	0	5	0	1	0	5	5	9	2	8	8	3	3	
Mcavernosa06112	125	223	37	133	11	96	761	222	1	58	37	48	6	35	135	20	14	118	48	138	74	190	0	0	50	2	31	148	8	55	62	23	7	25	30	35	12	105	13	19	1	0	37	0	62	1	68	54	4	0	6	66	34	20	4	43	46	6	67	54	126	4	165	206	103	145	
Mcavernosa06116	2	2	0	2	0	1	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	5	0	0	0	0	1	4	0	0	1	0	3	3	
Mcavernosa06121	42	69	13	44	1	14	106	4	0	5	6	5	7	12	16	0	8	8	16	23	3	35	0	0	15	8	13	11	12	1	5	0	4	2	2	0	11	12	5	1	0	1	1	0	5	1	7	2	3	0	1	3	7	1	1	9	1	0	6	16	12	1	17	26	18	27	
Mcavernosa06123	13	17	6	20	0	1	42	16	0	4	4	4	0	12	3	0	8	1	1	1	0	6	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	1	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	1	1	0	0	24	0	1	
Mcavernosa06124	15	31	2	9	0	8	156	6	0	2	0	28	0	6	0	0	4	3	4	26	7	55	0	6	22	4	7	6	3	0	8	2	0	0	3	7	0	2	9	0	0	1	0	0	5	2	10	0	0	0	0	9	12	2	0	2	0	1	6	5	1	2	18	32	6	29	
Mcavernosa06125	7	9	2	10	0	4	22	8	0	0	0	1	0	0	1	0	1	5	1	8	3	1	0	0	1	0	4	3	0	0	1	1	0	0	0	0	0	4	0	0	0	0	0	0	3	0	1	1	0	0	0	2	0	0	0	0	0	0	2	0	5	0	3	6	1	6	
Mcavernosa06127	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Mcavernosa06128	37	48	1	39	15	12	208	24	0	13	23	21	5	3	32	10	1	28	2	19	28	56	10	4	14	17	11	23	6	0	31	11	0	0	1	13	0	4	7	1	0	0	1	0	10	0	17	8	5	1	1	20	8	0	12	14	1	13	24	18	28	11	35	31	26	27	
Mcavernosa06132	3	1	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	2	
Mcavernosa06135	8	5	3	1	0	1	22	3	0	0	0	0	0	0	0	0	0	1	3	9	1	8	0	0	4	0	3	3	0	0	1	0	0	0	3	0	0	6	0	0	0	0	0	0	3	0	0	1	0	0	0	9	3	1	0	0	0	0	2	3	2	0	2	7	3	5	
Mcavernosa06136	1	2	0	0	0	5	7	1	0	0	0	0	6	0	2	0	0	0	0	3	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	1	
Mcavernosa06137	37	44	1	21	5	26	172	17	3	19	2	15	3	8	13	16	2	28	11	33	13	50	1	1	10	3	7	24	0	0	12	7	5	0	3	1	0	16	5	0	0	1	0	0	4	1	8	17	0	0	5	25	4	2	0	8	0	0	14	15	20	2	14	48	16	25	
Mcavernosa06138	0	1	0	0	0	0	15	0	0	0	0	0	0	0	2	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	3	0	0	
Mcavernosa06139	0	1	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Mcavernosa06140	6	13	20	4	5	7	41	12	2	4	2	8	10	10	4	15	19	8	6	9	14	17	7	1	25	9	9	7	14	4	13	22	0	30	25	2	25	17	18	9	5	2	7	0	1	23	15	8	33	2	22	17	14	1	8	3	19	10	4	15	6	5	2	12	7	6	
Mcavernosa06141	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Mcavernosa06142	0	1	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	3	0	
Mcavernosa06144	1	1	1	1	0	0	1	4	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Mcavernosa06145	1	0	0	1	0	0	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	1	1	
Mcavernosa06148	1	6	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	1	3	0	3	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	3	9	2	1	
Mcavernosa06149	0	0	0	0	0	0	1	3	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	1	1	0	
Mcavernosa06150	2	2	2	0	0	2	2	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	
Mcavernosa06155	33	40	4	13	4	36	192	23	0	12	13	19	8	12	16	0	5	19	8	26	3	32	0	3	15	5	9	25	1	0	17	4	37	7	3	0	5	29	40	4	1	2	9	0	2	4	27	16	4	0	8	20	20	7	2	13	1	0	12	16	18	0	20	27	9	24	
Mcavernosa06156	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	
Mcavernosa06159	17	12	1	10	0	4	43	22	0	1	2	4	0	0	4	0	0	4	1	4	1	7	0	0	3	1	6	3	2	0	2	0	0	4	0	0	0	11	1	0	0	0	0	1	4	0	1	0	0	0	0	3	0	0	0	6	0	0	4	4	4	0	12	7	5	8	
Mcavernosa06160	0	1	0	1	0	0	0	3	0	0	0	0	0	0	2	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	
Mcavernosa06161	5	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	1	
Mcavernosa06167	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	
Mcavernosa06168	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	
Mcavernosa06169	0	1	0	0	0	1	2	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1	
Mcavernosa06170	0	2	0	4	0	0	3	1	0	3	0	2	0	0	2	0	0	6	0	2	4	2	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	1	0	5	0	0	0	0	0	0	9	0	0	0	0	3	0	0	0	2	0	0	1	0	0	0	2	5	2	0	
Mcavernosa06172	3	5	0	1	0	0	3	0	0	0	0	3	0	0	1	0	0	1	0	1	0	5	0	0	4	0	0	5	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	1	0	3	3	0	1	
Mcavernosa06173	8	7	0	3	0	5	30	1	0	0	0	6	0	2	3	0	0	0	0	11	0	12	0	0	1	0	0	3	0	0	0	0	0	0	0	0	0	3	2	0	0	0	0	0	1	0	4	4	0	0	12	6	3	0	1	2	0	0	1	0	3	0	6	11	1	3	
Mcavernosa06174	1	2	0	0	0	0	6	1	0	0	0	0	0	0	4	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	
Mcavernosa06175	19	36	4	8	1	13	197	32	0	26	2	9	2	0	14	0	0	12	5	15	5	39	3	0	9	3	6	25	2	2	1	1	2	4	3	0	4	12	5	0	0	6	6	0	15	0	3	9	0	0	3	11	5	1	0	2	0	6	12	9	17	0	14	16	1	24	
Mcavernosa06176	27	35	2	26	5	18	186	27	0	16	11	10	2	13	21	0	0	29	4	29	26	30	0	0	25	0	6	17	0	0	1	2	0	3	6	0	15	17	6	0	2	0	1	0	7	12	11	0	0	0	10	3	2	1	2	4	0	1	10	9	7	0	23	14	14	24	
Mcavernosa06177	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	
Mcavernosa06178	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	
Mcavernosa06179	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	
Mcavernosa06180	6	6	0	1	0	4	23	6	0	0	2	1	0	0	1	0	0	0	2	4	2	6	0	0	4	0	0	3	0	1	4	0	0	0	4	0	0	3	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	1	0	0	0	1	3	0	5	8	4	2	
Mcavernosa06181	2	1	0	3	0	0	3	0	0	0	0	3	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	1	
Mcavernosa06183	87	88	22	82	0	75	220	213	3	90	25	43	3	19	64	0	34	142	22	50	41	72	0	0	38	29	37	63	1	0	36	31	11	8	35	0	1	42	19	42	1	6	23	0	8	0	27	107	17	4	14	62	29	19	0	14	2	23	43	29	114	8	57	66	54	80	
Mcavernosa06184	0	0	0	1	0	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Mcavernosa06185	1	5	0	1	0	0	5	1	0	0	0	2	0	0	0	0	0	0	0	4	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	4	2	2	0	2	0	0	4	
Mcavernosa06186	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Mcavernosa06188	1	0	3	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	3	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	4	1	0	0	0	0	0	0	0	0	0	1	0	1	
Mcavernosa06189	0	1	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	
Mcavernosa06190	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Mcavernosa06191	2	1	0	2	4	1	0	6	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	
Mcavernosa06192	21	18	1	21	2	20	51	11	1	3	1	10	3	0	14	0	0	12	11	14	17	13	0	0	18	8	11	21	0	0	3	3	0	0	2	0	0	10	3	6	0	0	0	0	9	0	3	6	0	0	0	3	0	0	0	9	0	4	3	6	8	0	30	2	7	11	
Mcavernosa06196	4	21	3	6	0	4	27	0	0	0	0	0	0	0	1	0	0	1	5	7	0	14	0	0	2	0	5	6	0	0	0	0	0	0	0	0	0	7	1	0	0	0	0	0	0	0	4	0	0	0	0	2	0	0	0	0	0	0	4	0	3	0	2	6	2	4	
Mcavernosa06197	8	14	1	9	0	7	75	8	0	5	0	1	0	0	2	0	0	3	4	11	1	12	0	0	5	5	1	11	0	0	1	0	0	0	3	1	0	6	0	0	0	0	0	0	1	1	3	0	0	2	0	1	0	1	1	0	0	0	3	0	3	0	16	3	1	4	
Mcavernosa06198	1	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	5	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	
Mcavernosa06199	14	18	2	10	0	7	34	22	0	0	0	2	0	0	6	0	3	4	12	10	7	14	0	0	3	0	0	3	0	0	1	4	0	0	0	0	0	16	5	0	0	0	0	0	1	0	8	7	0	0	1	3	6	3	0	5	0	0	2	8	8	0	5	14	3	6	
Mcavernosa06201	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Mcavernosa06203	0	0	4	0	0	1	5	1	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	1	0	
Mcavernosa06204	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	
Mcavernosa06205	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Mcavernosa06207	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	2	0	
Mcavernosa06209	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Mcavernosa06213	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	
Mcavernosa06214	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	
Mcavernosa06215	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	
Mcavernosa06216	76	71	4	71	13	47	381	52	0	31	8	40	20	0	45	8	3	47	33	49	34	64	25	0	47	12	30	49	23	22	26	11	1	3	26	0	0	38	9	3	1	0	6	0	24	1	26	9	10	1	1	18	12	1	19	16	66	1	28	32	48	1	75	80	50	62	
Mcavernosa06217	2	2	0	0	0	1	10	0	0	0	0	1	0	1	2	0	0	1	0	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	
Mcavernosa06219	39	32	2	41	0	36	200	185	9	21	13	5	2	8	34	1	2	30	22	52	24	75	0	0	21	1	5	17	2	19	25	9	0	2	14	0	0	27	16	17	1	0	11	0	27	0	23	25	1	11	20	26	8	5	35	3	3	0	14	33	62	0	38	51	27	53	
Mcavernosa06222	8	15	1	4	0	8	79	14	0	2	0	2	1	0	3	0	1	7	4	14	4	22	1	0	8	4	1	11	2	1	1	0	1	6	0	0	1	7	2	0	2	0	2	1	1	0	2	3	0	0	0	0	0	0	0	1	0	3	0	0	4	0	6	6	5	8	
Mcavernosa06223	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	
Mcavernosa06227	1	1	0	0	0	1	13	1	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	2	0	0	1	1	0	
