	Mc17-25.fq.trim.sam.counts	Mc17-33.fq.trim.sam.counts	Mc17-40.fq.trim.sam.counts	Mc17-66.fq.trim.sam.counts	Mc20-01.fq.trim.sam.counts	Mc20-04.fq.trim.sam.counts	Mc20-05.fq.trim.sam.counts	Mc20-08.fq.trim.sam.counts	Mc20-12.fq.trim.sam.counts	Mc20-14.fq.trim.sam.counts	Mc20-15.fq.trim.sam.counts	Mc20-18.fq.trim.sam.counts	Mc20-20.fq.trim.sam.counts	Mc20-21.fq.trim.sam.counts	Mc20-22.fq.trim.sam.counts	Mc20-24.fq.trim.sam.counts	Mc20-27.fq.trim.sam.counts	Mc20-33.fq.trim.sam.counts	Mc21-05.fq.trim.sam.counts	Mc21-08.fq.trim.sam.counts	Mc21-19.fq.trim.sam.counts	Mc21-20.fq.trim.sam.counts	Mc22-01.fq.trim.sam.counts	Mc22-03.fq.trim.sam.counts	Mc22-07.fq.trim.sam.counts	Mc22-08.fq.trim.sam.counts	Mc22-09.fq.trim.sam.counts	Mc22-12.fq.trim.sam.counts	Mc22-13.fq.trim.sam.counts	Mc22-16.fq.trim.sam.counts	Mc22-18.fq.trim.sam.counts	Mc22-20.fq.trim.sam.counts	Mc22-23.fq.trim.sam.counts	Mc22-24.fq.trim.sam.counts	Mc22-27.fq.trim.sam.counts	Mc22-40.fq.trim.sam.counts	Mc23-02.fq.trim.sam.counts	Mc23-10.fq.trim.sam.counts	Mc23-12.fq.trim.sam.counts	Mc23-27.fq.trim.sam.counts	Mc25-01.fq.trim.sam.counts	Mc25-07.fq.trim.sam.counts	Mc25-19.fq.trim.sam.counts	Mc25-25.fq.trim.sam.counts	Mc26-04.fq.trim.sam.counts	Mc26-06.fq.trim.sam.counts	Mc26-07.fq.trim.sam.counts	Mc26-09.fq.trim.sam.counts	Mc26-13.fq.trim.sam.counts	Mc26-15.fq.trim.sam.counts	Mc26-17.fq.trim.sam.counts	Mc26-18.fq.trim.sam.counts	Mc26-22.fq.trim.sam.counts	Mc26-23.fq.trim.sam.counts	Mc26-24.fq.trim.sam.counts	Mc26-25.fq.trim.sam.counts	Mc26-28.fq.trim.sam.counts	Mc26-30.fq.trim.sam.counts	Mc28-18.fq.trim.sam.counts	Mc28-19.fq.trim.sam.counts	Mc28-27.fq.trim.sam.counts	Mc28-40.fq.trim.sam.counts	Mc29-04.fq.trim.sam.counts	Mc29-06.fq.trim.sam.counts	Mc29-18.fq.trim.sam.counts	Mc29-27.fq.trim.sam.counts	
Mcavernosa00024	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	
Mcavernosa00025	4	3	4	6	0	0	5	1	0	0	0	0	0	0	1	0	0	2	5	4	1	9	0	0	3	0	4	4	0	0	1	1	0	0	0	0	0	10	0	0	0	0	0	0	1	0	0	0	0	0	0	2	3	0	0	0	0	0	0	1	1	0	2	6	6	4	
Mcavernosa00027	0	2	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1	0	2	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	
Mcavernosa00028	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	
Mcavernosa00031	5	3	0	1	0	3	14	12	0	0	1	2	0	0	3	0	0	1	0	4	2	11	0	0	0	0	5	3	0	0	0	0	0	0	0	0	1	7	2	10	0	3	5	1	1	0	0	1	0	0	6	8	0	0	0	0	0	0	2	8	5	0	1	8	1	3	
Mcavernosa00032	4	12	0	5	0	5	26	5	0	0	2	1	0	0	3	0	0	4	2	5	1	7	0	0	1	0	0	3	0	0	7	0	0	0	0	0	0	5	1	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	1	0	0	3	1	3	0	3	6	7	7	
Mcavernosa00033	0	0	0	0	0	0	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	
Mcavernosa00034	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	
Mcavernosa00035	11	17	2	4	1	6	36	28	0	3	2	0	0	0	7	0	0	5	5	7	1	8	0	0	0	0	3	4	0	0	5	5	0	0	0	0	0	11	2	2	0	0	0	0	7	0	2	3	0	0	0	1	1	0	0	1	0	0	0	1	6	0	13	9	4	6	
Mcavernosa00036	4	3	0	3	0	2	17	4	0	0	4	1	1	0	1	0	0	2	2	2	2	5	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	3	0	1	0	0	0	0	4	0	2	0	0	7	0	2	0	1	0	1	0	0	0	1	3	0	1	1	2	1	
Mcavernosa00037	0	2	0	0	0	4	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	
Mcavernosa00038	7	7	1	11	0	1	17	6	0	3	0	2	0	0	7	0	0	4	4	11	3	5	0	1	5	1	4	5	0	0	0	0	0	0	5	0	0	5	0	0	0	0	0	0	1	0	3	0	0	0	1	4	0	1	0	2	0	0	5	2	5	0	4	11	0	3	
Mcavernosa00043	27	31	3	13	2	39	142	79	0	7	2	9	1	1	13	0	1	11	22	23	6	42	0	0	13	2	1	10	4	7	2	4	1	0	2	1	16	23	4	7	1	0	1	4	11	4	14	36	1	0	3	21	8	3	0	4	0	0	9	11	31	0	29	38	16	17	
Mcavernosa00044	7	12	2	4	0	14	42	12	0	0	0	3	1	1	10	0	2	6	6	11	5	4	119	0	9	0	2	10	0	0	1	0	0	0	5	0	2	7	0	0	0	0	0	0	2	0	6	13	0	0	2	6	1	2	3	1	0	0	5	7	10	0	16	11	5	8	
